Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Notes
ID,Edm.Guid,Direct,x_aa_exact_contact_id,char,res.partner,Primary key. Named x_aa_exact_contact_id to distinguish from x_aa_exact_account_id (Accounts sheet). A person partner has this field populated; a company partner does not.
HID,Edm.Int32,Custom,x_aa_contact_hid,integer,res.partner,Numeric contact ID in Exact.
Code,Edm.String,Custom,x_aa_contact_code,char,res.partner,Code of the parent account (denormalized). The authoritative account code is on the parent partner's ref field.
Account,Edm.Guid,Relational,parent_id,many2one → res.partner,res.partner,The account this contact belongs to. Resolve via x_aa_exact_account_id lookup on company partners. PREREQUISITE: Accounts must be migrated first.
AccountName,Edm.String,Skip,—,—,—,Denormalized. Derivable from parent_id.name.
AccountIsCustomer,Edm.Boolean,Skip,—,—,—,Denormalized. Already on parent partner via customer_rank.
AccountIsSupplier,Edm.Boolean,Skip,—,—,—,Denormalized. Already on parent partner via supplier_rank.
AccountMainContact,Edm.Guid,Skip,—,—,—,Account-level concept. Already on parent partner as x_aa_main_contact_id.
FirstName,Edm.String,Custom,x_aa_first_name,char,res.partner,First name. Preserved to retain name parts. Also used to derive name (see Derived).
MiddleName,Edm.String,Custom,x_aa_middle_name,char,res.partner,Middle name / tussenvoegsel.
LastName,Edm.String,Custom,x_aa_last_name,char,res.partner,Last name. Also used to derive name.
Initials,Edm.String,Custom,x_aa_initials,char,res.partner,Initials.
FullName,Edm.String,Skip,—,—,—,Denormalized composite. We derive name from the individual parts instead.
PartnerName,Edm.String,Custom,x_aa_partner_name,char,res.partner,Last name of spouse/partner.
PartnerNamePrefix,Edm.String,Custom,x_aa_partner_name_prefix,char,res.partner,Middle name of spouse/partner.
Title,Edm.String,Custom,x_aa_title_code,char,res.partner,"Title code (e.g., Mr, Mrs). Odoo has title (many2one → res.partner.title) but code sets may differ. Preserve raw; optionally resolve to res.partner.title."
TitleAbbreviation,Edm.String,Custom,x_aa_title_abbreviation,char,res.partner,Title abbreviation.
