Name,Type,Description
ID,Edm.Guid,Primary key
Accountant,Edm.Guid,Reference to the accountant of the customer. Conditions: The referred accountant must have value > 0 in the field IsAccountant
AccountManager,Edm.Guid,ID of the account manager
AccountManagerFullName,Edm.String,Name of the account manager
AccountManagerHID,Edm.Int32,Number of the account manager
ActivitySector,Edm.Guid,Reference to Activity sector of the account
ActivitySubSector,Edm.Guid,Reference to Activity sub-sector of the account
AddressLine1,Edm.String,Visit address first line
AddressLine2,Edm.String,Visit address second line
AddressLine3,Edm.String,Visit address third line
AddressSource,Edm.Byte,CRM creation source
AutomaticProcessProposedEntry,Edm.Byte,Automatically create entries for complete entry proposals
BankAccounts,BankAccounts,Collection of Bank accounts
Blocked,Edm.Boolean,Indicates if the account is blocked
BRIN,Edm.Guid,Obsolete
BSN,Edm.String,Citizen Service Number for the Netherlands
BusinessType,Edm.Guid,Reference to the business type of the account
CanDropShip,Edm.Boolean,Indicates the default for the possibility to drop ship when an item is linked to a supplier
ChamberOfCommerce,Edm.String,Chamber of commerce number
City,Edm.String,Visit address City
Classification,Edm.String,Obsolete
Classification1,Edm.Guid,Account classification 1
Classification2,Edm.Guid,Account classification 2
Classification3,Edm.Guid,Account classification 3
Classification4,Edm.Guid,Account classification 4
Classification5,Edm.Guid,Account classification 5
Classification6,Edm.Guid,Account classification 6
Classification7,Edm.Guid,Account classification 7
Classification8,Edm.Guid,Account classification 8
ClassificationDescription,Edm.String,Obsolete
Code,Edm.String,"Unique key, fixed length numeric string with leading spaces, length 18. IMPORTANT: When you use OData $filter on this field you have to make sure the filter parameter contains the leading spaces"
CodeAtSupplier,Edm.String,Code under which your own company is known at the account
CompanySize,Edm.Guid,Reference to Company size of the account
