Name,Type,Description
ID,Edm.Guid,Primary key
Account,Edm.Guid,The account to which the contact belongs
AccountIsCustomer,Edm.Boolean,Indicates if account is a customer
AccountIsSupplier,Edm.Boolean,Indicates if account is a supplier
AccountMainContact,Edm.Guid,Reference to the main contact of the account
AccountName,Edm.String,Name of the account
AddressLine2,Edm.String,Second address line
AddressStreet,Edm.String,Street name of the address
AddressStreetNumber,Edm.String,Street number of the address
AddressStreetNumberSuffix,Edm.String,Street number suffix of the address
AllowMailing,Edm.Int32,Obsolete
BirthDate,Edm.DateTime,Birth date
BirthName,Edm.String,Obsolete. Please don't use this field anymore as it may overwrite LastName.
BirthNamePrefix,Edm.String,Obsolete. Please don't use this field anymore as it may overwrite MiddleName.
BirthPlace,Edm.String,Birth place
BusinessEmail,Edm.String,Email address of the contact
BusinessFax,Edm.String,Fax of the contact
BusinessMobile,Edm.String,Mobile of the contact
BusinessPhone,Edm.String,Phone of the contact
BusinessPhoneExtension,Edm.String,Phone extension of the contact
City,Edm.String,City
Code,Edm.String,Code of the account
Country,Edm.String,Country code
Created,Edm.DateTime,Creation date
Creator,Edm.Guid,User ID of the creator
CreatorFullName,Edm.String,Name of the creator
CustomField,Edm.String,Custom field endpoint. Provided only for the Exact Online Premium users.
Division,Edm.Int32,Division code
Email,Edm.String,Email address of the contact
EndDate,Edm.DateTime,End date
FirstName,Edm.String,First name. Provide at least first name or last name to create a new contact
FullName,Edm.String,Full name (First name Middle name Last name)
Gender,Edm.String,Gender
HID,Edm.Int32,Contact ID
IdentificationDate,Edm.DateTime,Identification date
IdentificationDocument,Edm.Guid,Reference to the identification document of the contact
IdentificationUser,Edm.Guid,Reference to the user responsible for identification
Initials,Edm.String,Initials
IsAnonymised,Edm.Byte,Indicates whether the contact is anonymised.
IsMailingExcluded,Edm.Boolean,Indicates whether contacts are excluded from the marketing list
IsMainContact,Edm.Boolean,Indicates if this is the main contact of the linked account
JobTitleDescription,Edm.String,Jobtitle of the contact
Language,Edm.String,Language code
LastName,Edm.String,Last name. Provide at least first name or last name to create a new contact
LeadPurpose,Edm.Guid,Reference to purpose of an contact
LeadSource,Edm.Guid,Reference to source of an contact
MarketingNotes,Edm.String,The user should be able to do a full text search on these notes to gather contacts for a marketing campaign
MiddleName,Edm.String,Middle name
Mobile,Edm.String,Business phone of the contact
Modified,Edm.DateTime,Last modified date
Modifier,Edm.Guid,User ID of modifier
ModifierFullName,Edm.String,Name of the last modifier
Nationality,Edm.String,Nationality
Notes,Edm.String,Extra remarks
PartnerName,Edm.String,Last name of partner
PartnerNamePrefix,Edm.String,Middlename of partner
Person,Edm.Guid,"Reference to the personal information of this contact such as name, gender, address etc."
Phone,Edm.String,Phone of the contact
PhoneExtension,Edm.String,Phone extension of the contact
Picture,Edm.Binary,This field is write-only. The picture can be downloaded through PictureUrl and PictureThumbnailUrl.
PictureName,Edm.String,Filename of the picture
PictureThumbnailUrl,Edm.String,Url to retrieve the picture thumbnail
PictureUrl,Edm.String,Url to retrieve the picture
Postcode,Edm.String,Postcode
SocialSecurityNumber,Edm.String,Social security number
StartDate,Edm.DateTime,Start date
State,Edm.String,State
Title,Edm.String,Title
TitleAbbreviation,Edm.String,TitleAbbreviation
TitleDescription,Edm.String,TitleDescription
