"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"active","Active","boolean","If the active field is set to False, it will allow you to hide the payment terms without removing it.","Payment Terms","",""
"company_id","Company","many2one","","Payment Terms","res.company",""
"create_date","Created on","datetime","","Payment Terms","",""
"create_uid","Created by","many2one","","Payment Terms","res.users",""
"currency_id","Currency","many2one","","Payment Terms","res.currency",""
"discount_days","Discount Days","integer","Number of days before the early payment proposition expires","Payment Terms","",""
"discount_percentage","Discount %","float","Early Payment Discount granted for this payment term","Payment Terms","",""
"display_name","Display Name","char","","Payment Terms","",""
"display_on_invoice","Show installment dates","boolean","","Payment Terms","",""
"early_discount","Early Discount","boolean","","Payment Terms","",""
"early_pay_discount_computation","Cash Discount Tax Reduction","selection","","Payment Terms","",""
"example_amount","Example Amount","monetary","","Payment Terms","",""
"example_date","Date example","date","","Payment Terms","",""
"example_invalid","Example Invalid","boolean","","Payment Terms","",""
"example_preview","Example Preview","html","","Payment Terms","",""
"example_preview_discount","Example Preview Discount","html","","Payment Terms","",""
"fiscal_country_codes","Fiscal Country Codes","char","","Payment Terms","",""
"id","ID","integer","","Payment Terms","",""
"line_ids","Terms","one2many","","Payment Terms","account.payment.term.line",""
"name","Payment Terms","char","","Payment Terms","",""
"note","Description on the Invoice","html","","Payment Terms","",""
"sequence","Sequence","integer","","Payment Terms","",""
"write_date","Last Updated on","datetime","","Payment Terms","",""
"write_uid","Last Updated by","many2one","","Payment Terms","res.users",""
