"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"child_id","Child Categories","one2many","","Product Category","product.category",""
"complete_name","Complete Name","char","","Product Category","",""
"create_date","Created on","datetime","","Product Category","",""
"create_uid","Created by","many2one","","Product Category","res.users",""
"display_name","Display Name","char","","Product Category","",""
"filter_for_stock_putaway_rule","stock.putaway.rule","boolean","","Product Category","",""
"has_message","Has Message","boolean","","Product Category","",""
"id","ID","integer","","Product Category","",""
"message_attachment_count","Attachment Count","integer","","Product Category","",""
"message_follower_ids","Followers","one2many","","Product Category","mail.followers",""
"message_has_error","Message Delivery error","boolean","If checked, some messages have a delivery error.","Product Category","",""
"message_has_error_counter","Number of errors","integer","Number of messages with delivery error","Product Category","",""
"message_has_sms_error","SMS Delivery error","boolean","If checked, some messages have a delivery error.","Product Category","",""
"message_ids","Messages","one2many","","Product Category","mail.message",""
"message_is_follower","Is Follower","boolean","","Product Category","",""
"message_needaction","Action Needed","boolean","If checked, new messages require your attention.","Product Category","",""
"message_needaction_counter","Number of Actions","integer","Number of messages requiring action","Product Category","",""
"message_partner_ids","Followers (Partners)","many2many","","Product Category","res.partner",""
"name","Name","char","","Product Category","",""
"packaging_reserve_method","Reserve Packagings","selection","Reserve Only Full Packagings: will not reserve partial packagings. If customer orders 2 pallets of 1000 units each and you only have 1600 in stock, then only 1000 will be reserved
Reserve Partial Packagings: allow reserving partial packagings. If customer orders 2 pallets of 1000 units each and you only have 1600 in stock, then 1600 will be reserved","Product Category","",""
"parent_id","Parent Category","many2one","","Product Category","product.category",""
"parent_path","Parent Path","char","","Product Category","",""
"parent_route_ids","Parent Routes","many2many","","Product Category","stock.route",""
"product_count","# Products","integer","The number of products under this category (Does not consider the children categories)","Product Category","",""
"product_properties_definition","Product Properties","properties_definition","","Product Category","",""
"property_account_creditor_price_difference_categ","Price Difference Account","many2one","This account will be used to value price difference between purchase price and accounting cost.","Product Category","account.account",""
"property_account_downpayment_categ_id","Downpayment Account","many2one","This account will be used on Downpayment invoices.","Product Category","account.account",""
"property_account_expense_categ_id","Expense Account","many2one","The expense is accounted for when a vendor bill is validated, except in anglo-saxon accounting with perpetual inventory valuation in which case the expense (Cost of Goods Sold account) is recognized at the customer invoice validation.","Product Category","account.account",""
"property_account_income_categ_id","Income Account","many2one","This account will be used when validating a customer invoice.","Product Category","account.account",""
"property_cost_method","Costing Method","selection","Standard Price: The products are valued at their standard cost defined on the product.
        Average Cost (AVCO): The products are valued at weighted average cost.
        First In First Out (FIFO): The products are valued supposing those that enter the company first will also leave it first.
        ","Product Category","",""
"property_stock_account_input_categ_id","Stock Input Account","many2one","Counterpart journal items for all incoming stock moves will be posted in this account, unless there is a specific valuation account
                set on the source location. This is the default value for all products in this category. It can also directly be set on each product.","Product Category","account.account",""
"property_stock_account_output_categ_id","Stock Output Account","many2one","When doing automated inventory valuation, counterpart journal items for all outgoing stock moves will be posted in this account,
                unless there is a specific valuation account set on the destination location. This is the default value for all products in this category.
                It can also directly be set on each product.","Product Category","account.account",""
"property_stock_account_production_cost_id","Production Account","many2one","This account will be used as a valuation counterpart for both components and final products for manufacturing orders.
                If there are any workcenter/employee costs, this value will remain on the account once the production is completed.","Product Category","account.account",""
"property_stock_journal","Stock Journal","many2one","When doing automated inventory valuation, this is the Accounting Journal in which entries will be automatically posted when stock moves are processed.","Product Category","account.journal",""
"property_stock_valuation_account_id","Stock Valuation Account","many2one","When automated inventory valuation is enabled on a product, this account will hold the current value of the products.","Product Category","account.account",""
"property_valuation","Inventory Valuation","selection","Manual: The accounting entries to value the inventory are not posted automatically.
        Automated: An accounting entry is automatically created to value the inventory when a product enters or leaves the company.
        ","Product Category","",""
"putaway_rule_ids","Putaway Rules","one2many","","Product Category","stock.putaway.rule",""
"rating_ids","Ratings","one2many","","Product Category","rating.rating",""
"removal_strategy_id","Force Removal Strategy","many2one","Set a specific removal strategy that will be used regardless of the source location for this product category.

FIFO: products/lots that were stocked first will be moved out first.
LIFO: products/lots that were stocked last will be moved out first.
Closest location: products/lots closest to the target location will be moved out first.
FEFO: products/lots with the closest removal date will be moved out first (the availability of this method depends on the ""Expiration Dates"" setting).
Least Packages: FIFO but with the least number of packages possible when there are several packages containing the same product.","Product Category","product.removal",""
"route_ids","Routes","many2many","","Product Category","stock.route",""
"total_route_ids","Total routes","many2many","","Product Category","stock.route",""
"website_message_ids","Website Messages","one2many","Website communication history","Product Category","mail.message",""
"write_date","Last Updated on","datetime","","Product Category","",""
"write_uid","Last Updated by","many2one","","Product Category","res.users",""
