"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"accessory_product_ids","Accessory Products","many2many","Accessories show up when the customer reviews the cart before payment (cross-sell strategy).","Product Variant","product.product",""
"account_tag_ids","Account Tags","many2many","Tags to be set on the base and tax journal items created for this product.","Product Variant","account.account.tag",""
"active","Active","boolean","If unchecked, it will allow you to hide the product without removing it.","Product Variant","",""
"activity_calendar_event_id","Next Activity Calendar Event","many2one","","Product Variant","calendar.event",""
"activity_date_deadline","Next Activity Deadline","date","","Product Variant","",""
"activity_exception_decoration","Activity Exception Decoration","selection","Type of the exception activity on record.","Product Variant","",""
"activity_exception_icon","Icon","char","Icon to indicate an exception activity.","Product Variant","",""
"activity_ids","Activities","one2many","","Product Variant","mail.activity",""
"activity_state","Activity State","selection","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Product Variant","",""
"activity_summary","Next Activity Summary","char","","Product Variant","",""
"activity_type_icon","Activity Type Icon","char","Font awesome icon e.g. fa-tasks","Product Variant","",""
"activity_type_id","Next Activity Type","many2one","","Product Variant","mail.activity.type",""
"activity_user_id","Responsible User","many2one","","Product Variant","res.users",""
"additional_product_tag_ids","Variant Tags","many2many","","Product Variant","product.tag",""
"alert_time","Alert Date","integer","Number of days before the Expiration Date after which an alert should be raised on the lot/serial number. It will be computed on the lot/serial number.","Product Variant","",""
"all_product_tag_ids","All Product Tag","many2many","","Product Variant","product.tag",""
"allow_out_of_stock_order","Continue selling when out-of-stock","boolean","","Product Variant","",""
"alternative_product_ids","Alternative Products","many2many","Suggest alternatives to your customer (upsell strategy). Those products show up on the product page.","Product Variant","product.template",""
"attribute_line_ids","Product Attributes","one2many","","Product Variant","product.template.attribute.line",""
"available_threshold","Show Threshold","float","","Product Variant","",""
"avg_cost","Average Cost","monetary","","Product Variant","",""
"barcode","Barcode","char","International Article Number used for product identification.","Product Variant","",""
"base_unit_count","Base Unit Count","float","Display base unit price on your eCommerce pages. Set to 0 to hide it for this product.","Product Variant","",""
"base_unit_id","Custom Unit of Measure","many2one","Define a custom unit to display in the price per unit of measure field.","Product Variant","website.base.unit",""
"base_unit_name","Base Unit Name","char","Displays the custom unit for the products if defined or the selected unit of measure otherwise.","Product Variant","",""
"base_unit_price","Price Per Unit","monetary","","Product Variant","",""
"bom_count","# Bill of Material","integer","","Product Variant","",""
"bom_ids","Bill of Materials","one2many","","Product Variant","mrp.bom",""
"bom_line_ids","BoM Components","one2many","","Product Variant","mrp.bom.line",""
"can_image_1024_be_zoomed","Can Image 1024 be zoomed","boolean","","Product Variant","",""
"can_image_variant_1024_be_zoomed","Can Variant Image 1024 be zoomed","boolean","","Product Variant","",""
