"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"accessory_product_ids","Accessory Products","many2many","Accessories show up when the customer reviews the cart before payment (cross-sell strategy).","Product","product.product",""
"account_tag_ids","Account Tags","many2many","Tags to be set on the base and tax journal items created for this product.","Product","account.account.tag",""
"active","Active","boolean","If unchecked, it will allow you to hide the product without removing it.","Product","",""
"activity_calendar_event_id","Next Activity Calendar Event","many2one","","Product","calendar.event",""
"activity_date_deadline","Next Activity Deadline","date","","Product","",""
"activity_exception_decoration","Activity Exception Decoration","selection","Type of the exception activity on record.","Product","",""
"activity_exception_icon","Icon","char","Icon to indicate an exception activity.","Product","",""
"activity_ids","Activities","one2many","","Product","mail.activity",""
"activity_state","Activity State","selection","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Product","",""
"activity_summary","Next Activity Summary","char","","Product","",""
"activity_type_icon","Activity Type Icon","char","Font awesome icon e.g. fa-tasks","Product","",""
"activity_type_id","Next Activity Type","many2one","","Product","mail.activity.type",""
"activity_user_id","Responsible User","many2one","","Product","res.users",""
"alert_time","Alert Date","integer","Number of days before the Expiration Date after which an alert should be raised on the lot/serial number. It will be computed on the lot/serial number.","Product","",""
"allow_out_of_stock_order","Continue selling when out-of-stock","boolean","","Product","",""
"alternative_product_ids","Alternative Products","many2many","Suggest alternatives to your customer (upsell strategy). Those products show up on the product page.","Product","product.template",""
"attribute_line_ids","Product Attributes","one2many","","Product","product.template.attribute.line",""
"available_threshold","Show Threshold","float","","Product","",""
"barcode","Barcode","char","","Product","",""
"base_unit_count","Base Unit Count","float","Display base unit price on your eCommerce pages. Set to 0 to hide it for this product.","Product","",""
"base_unit_id","Custom Unit of Measure","many2one","Define a custom unit to display in the price per unit of measure field.","Product","website.base.unit",""
"base_unit_name","Base Unit Name","char","Displays the custom unit for the products if defined or the selected unit of measure otherwise.","Product","",""
"base_unit_price","Price Per Unit","monetary","","Product","",""
"bom_count","# Bill of Material","integer","","Product","",""
"bom_ids","Bill of Materials","one2many","","Product","mrp.bom",""
"bom_line_ids","BoM Components","one2many","","Product","mrp.bom.line",""
"can_image_1024_be_zoomed","Can Image 1024 be zoomed","boolean","","Product","",""
"can_publish","Can Publish","boolean","","Product","",""
"categ_id","Product Category","many2one","","Product","product.category",""
"color","Color Index","integer","","Product","",""
"combo_ids","Combo Choices","many2many","","Product","product.combo",""
"company_id","Company","many2one","","Product","res.company",""
"compare_list_price","Compare to Price","monetary","Add a strikethrough price to your /shop and product pages for comparison purposes.It will not be displayed if pricelists apply.","Product","",""
"cost_currency_id","Cost Currency","many2one","","Product","res.currency",""
"cost_method","Costing Method","selection","Standard Price: The products are valued at their standard cost defined on the product.
        Average Cost (AVCO): The products are valued at weighted average cost.
        First In First Out (FIFO): The products are valued supposing those that enter the company first will also leave it first.
        ","Product","",""
