Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
access_token,Security Token,char,,Purchase Order,,
access_url,Portal Access URL,char,Customer Portal URL,Purchase Order,,
access_warning,Access warning,text,,Purchase Order,,
activity_calendar_event_id,Next Activity Calendar Event,many2one,,Purchase Order,calendar.event,
activity_date_deadline,Next Activity Deadline,date,,Purchase Order,,
activity_exception_decoration,Activity Exception Decoration,selection,Type of the exception activity on record.,Purchase Order,,
activity_exception_icon,Icon,char,Icon to indicate an exception activity.,Purchase Order,,
activity_ids,Activities,one2many,,Purchase Order,mail.activity,
activity_state,Activity State,selection,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",Purchase Order,,
activity_summary,Next Activity Summary,char,,Purchase Order,,
activity_type_icon,Activity Type Icon,char,Font awesome icon e.g. fa-tasks,Purchase Order,,
activity_type_id,Next Activity Type,many2one,,Purchase Order,mail.activity.type,
activity_user_id,Responsible User,many2one,,Purchase Order,res.users,
amount_tax,Taxes,monetary,,Purchase Order,,
amount_total,Total,monetary,,Purchase Order,,
amount_total_cc,Company Total,monetary,,Purchase Order,,
amount_untaxed,Untaxed Amount,monetary,,Purchase Order,,
company_currency_id,Company Currency,many2one,,Purchase Order,res.currency,
company_id,Company,many2one,,Purchase Order,res.company,True
company_price_include,Default Sales Price Include,selection,Default on whether the sales price used on the product and invoices with this Company includes its taxes.,Purchase Order,,
country_code,Country code,char,"The ISO country code in two chars. 
You can use this field for quick search.",Purchase Order,,
create_date,Created on,datetime,,Purchase Order,,
create_uid,Created by,many2one,,Purchase Order,res.users,
currency_id,Currency,many2one,,Purchase Order,res.currency,True
currency_rate,Currency Rate,float,,Purchase Order,,
date_approve,Confirmation Date,datetime,,Purchase Order,,
date_calendar_start,Date Calendar Start,datetime,,Purchase Order,,
date_order,Order Deadline,datetime,Depicts the date within which the Quotation should be confirmed and converted into a purchase order.,Purchase Order,,True
date_planned,Expected Arrival,datetime,Delivery date promised by vendor. This date is used to determine expected arrival of products.,Purchase Order,,
