"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"account_represented_company_ids","Account Represented Company","one2many","","Contact","res.company",""
"active","Active","boolean","","Contact","",""
"active_lang_count","Active Lang Count","integer","","Contact","",""
"activity_calendar_event_id","Next Activity Calendar Event","many2one","","Contact","calendar.event",""
"activity_date_deadline","Next Activity Deadline","date","","Contact","",""
"activity_exception_decoration","Activity Exception Decoration","selection","Type of the exception activity on record.","Contact","",""
"activity_exception_icon","Icon","char","Icon to indicate an exception activity.","Contact","",""
"activity_ids","Activities","one2many","","Contact","mail.activity",""
"activity_state","Activity State","selection","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Contact","",""
"activity_summary","Next Activity Summary","char","","Contact","",""
"activity_type_icon","Activity Type Icon","char","Font awesome icon e.g. fa-tasks","Contact","",""
"activity_type_id","Next Activity Type","many2one","","Contact","mail.activity.type",""
"activity_user_id","Responsible User","many2one","","Contact","res.users",""
"additional_info","Additional info","char","","Contact","",""
"autopost_bills","Auto-post bills","selection","Automatically post bills for this trusted partner","Contact","",""
"available_peppol_eas","Available Peppol Eas","json","","Contact","",""
"avatar_1024","Avatar 1024","binary","","Contact","",""
"avatar_128","Avatar 128","binary","","Contact","",""
"avatar_1920","Avatar","binary","","Contact","",""
"avatar_256","Avatar 256","binary","","Contact","",""
"avatar_512","Avatar 512","binary","","Contact","",""
"bank_account_count","Bank","integer","","Contact","",""
"bank_ids","Banks","one2many","","Contact","res.partner.bank",""
"barcode","Barcode","char","Use a barcode to identify this contact.","Contact","",""
"buyer_id","Buyer","many2one","","Contact","res.users",""
"calendar_last_notif_ack","Last notification marked as read from base Calendar","datetime","","Contact","",""
"can_publish","Can Publish","boolean","","Contact","",""
"category_id","Tags","many2many","","Contact","res.partner.category",""
"channel_ids","Channels","many2many","","Contact","discuss.channel",""
"child_ids","Contact","one2many","","Contact","res.partner",""
"city","City","char","","Contact","",""
"color","Color Index","integer","","Contact","",""
"comment","Notes","html","","Contact","",""
"commercial_company_name","Company Name Entity","char","","Contact","",""
"commercial_partner_id","Commercial Entity","many2one","","Contact","res.partner",""
"company_id","Company","many2one","","Contact","res.company",""
"company_name","Company Name","char","","Contact","",""
"company_registry","Company ID","char","The registry number of the company. Use it if it is different from the Tax ID. It must be unique across all partners of a same country","Contact","",""
"company_registry_label","Company ID Label","char","","Contact","",""
"company_type","Company Type","selection","","Contact","",""
"complete_name","Complete Name","char","","Contact","",""
"contact_address","Complete Address","char","","Contact","",""
"contact_address_complete","Contact Address Complete","char","","Contact","",""
"contact_address_inline","Inlined Complete Address","char","","Contact","",""
"contract_ids","Partner Contracts","one2many","","Contact","account.analytic.account",""
"country_code","Country Code","char","The ISO country code in two chars. 
You can use this field for quick search.","Contact","",""
"country_id","Country","many2one","","Contact","res.country",""
"create_date","Created on","datetime","","Contact","",""
"create_uid","Created by","many2one","","Contact","res.users",""
"credit","Total Receivable","monetary","Total amount this customer owes you.","Contact","",""
"credit_limit","Credit Limit","float","Credit limit specific to this partner.","Contact","",""
"credit_to_invoice","Credit To Invoice","monetary","","Contact","",""
"currency_id","Currency","many2one","","Contact","res.currency",""
"customer_rank","Customer Rank","integer","","Contact","",""
"days_sales_outstanding","Days Sales Outstanding (DSO)","float","[(Total Receivable/Total Revenue) * number of days since the first invoice] for this customer","Contact","",""
"debit","Total Payable","monetary","Total amount you have to pay to this vendor.","Contact","",""
"debit_limit","Payable Limit","monetary","","Contact","",""
"display_invoice_edi_format","Display Invoice Edi Format","boolean","","Contact","",""
"display_invoice_template_pdf_report_id","Display Invoice Template Pdf Report","boolean","","Contact","",""
"display_name","Display Name","char","","Contact","",""
"duplicate_bank_partner_ids","Duplicate Bank Partner","many2many","","Contact","res.partner",""
"duplicated_bank_account_partners_count","Duplicated Bank Account Partners Count","integer","","Contact","",""
"email","Email","char","","Contact","",""
"email_formatted","Formatted Email","char","Format email address ""Name <email@domain>""","Contact","",""
"email_normalized","Normalized Email","char","This field is used to search on email address as the primary email field can contain more than strictly an email address.","Contact","",""
"employee","Employee","boolean","Check this box if this contact is an Employee.","Contact","",""
"employee_ids","Employees","one2many","Related employees based on their private address","Contact","hr.employee",""
"employees_count","Employees Count","integer","","Contact","",""
"event_count","# Events","integer","","Contact","",""
"fiscal_country_codes","Fiscal Country Codes","char","","Contact","",""
"followup_line_id","Follow-up Level","many2one","","Contact","account_followup.followup.line",""
"followup_next_action_date","Next reminder","date","No follow-up action will be taken before this date.
                Sending a reminder will set this date depending on the levels configuration, and you can change it manually.","Contact","",""
"followup_reminder_type","Reminders","selection","","Contact","",""
"followup_responsible_id","Responsible","many2one","The responsible assigned to manual followup activities, if defined in the level.","Contact","res.users",""
"followup_status","Follow-up Status","selection","","Contact","",""
"function","Job Position","char","","Contact","",""
"has_message","Has Message","boolean","","Contact","",""
"has_moves","Has Moves","boolean","","Contact","",""
"iap_enrich_info","IAP Enrich Info","text","IAP response stored as a JSON string","Contact","",""
"iap_search_domain","Search Domain / Email","char","","Contact","",""
"id","ID","integer","","Contact","",""
"ignore_abnormal_invoice_amount","Ignore Abnormal Invoice Amount","boolean","","Contact","",""
"ignore_abnormal_invoice_date","Ignore Abnormal Invoice Date","boolean","","Contact","",""
"im_status","IM Status","char","","Contact","",""
"image_1024","Image 1024","binary","","Contact","",""
"image_128","Image 128","binary","","Contact","",""
"image_1920","Image","binary","","Contact","",""
"image_256","Image 256","binary","","Contact","",""
"image_512","Image 512","binary","","Contact","",""
"image_medium","Medium-sized image","binary","","Contact","",""
"industry_id","Industry","many2one","","Contact","res.partner.industry",""
"invoice_edi_format","eInvoice format","selection","","Contact","",""
"invoice_edi_format_store","Invoice Edi Format Store","char","","Contact","",""
"invoice_ids","Invoices","one2many","","Contact","account.move",""
"invoice_sending_method","Invoice sending","selection","","Contact","",""
"invoice_template_pdf_report_id","Invoice template","many2one","","Contact","ir.actions.report",""
"invoice_warn","Invoice","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Contact","",""
"invoice_warn_msg","Message for Invoice","text","","Contact","",""
"is_blacklisted","Blacklist","boolean","If the email address is on the blacklist, the contact won't receive mass mailing anymore, from any list","Contact","",""
"is_coa_installed","Is Coa Installed","boolean","","Contact","",""
"is_company","Is a Company","boolean","Check if the contact is a company, otherwise it is a person","Contact","",""
"is_peppol_edi_format","Is Peppol Edi Format","boolean","","Contact","",""
"is_public","Is Public","boolean","","Contact","",""
"is_published","Is Published","boolean","","Contact","",""
"is_seo_optimized","SEO optimized","boolean","","Contact","",""
