Field Name,Field Label,Field Type,Field Help,Model,Related Model,Dependencies
create_date,Created on,datetime,,Subscription Close Reason,,
create_uid,Created by,many2one,,Subscription Close Reason,res.users,
display_name,Display Name,char,,Subscription Close Reason,,
empty_retention_message,Empty Retention Message,boolean,,Subscription Close Reason,,
id,ID,integer,,Subscription Close Reason,,
is_protected,Is Protected,boolean,,Subscription Close Reason,,
name,Reason,char,,Subscription Close Reason,,
retention_button_link,Button Link,char,,Subscription Close Reason,,
retention_button_text,Button Text,char,,Subscription Close Reason,,
retention_message,Message,html,"Try to prevent customers from leaving and closing their subscriptions, thanks to a catchy message and a call to action.",Subscription Close Reason,,
sequence,Sequence,integer,,Subscription Close Reason,,
visible_in_portal,Visible In Portal,boolean,,Subscription Close Reason,,
write_date,Last Updated on,datetime,,Subscription Close Reason,,
write_uid,Last Updated by,many2one,,Subscription Close Reason,res.users,
