Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
access_token,Security Token,char,,Sales Order,,
access_url,Portal Access URL,char,Customer Portal URL,Sales Order,,
access_warning,Access warning,text,,Sales Order,,
activity_calendar_event_id,Next Activity Calendar Event,many2one,,Sales Order,calendar.event,
activity_date_deadline,Next Activity Deadline,date,,Sales Order,,
activity_exception_decoration,Activity Exception Decoration,selection,Type of the exception activity on record.,Sales Order,,
activity_exception_icon,Icon,char,Icon to indicate an exception activity.,Sales Order,,
activity_ids,Activities,one2many,,Sales Order,mail.activity,
activity_state,Activity State,selection,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",Sales Order,,
activity_summary,Next Activity Summary,char,,Sales Order,,
activity_type_icon,Activity Type Icon,char,Font awesome icon e.g. fa-tasks,Sales Order,,
activity_type_id,Next Activity Type,many2one,,Sales Order,mail.activity.type,
activity_user_id,Responsible User,many2one,,Sales Order,res.users,
amount_delivery,Delivery Amount,monetary,Tax included or excluded depending on the website configuration.,Sales Order,,
amount_invoiced,Already invoiced,monetary,,Sales Order,,
amount_paid,Payment Transactions Amount,float,Sum of transactions made in through the online payment form that are in the state 'done' or 'authorized' and linked to this order.,Sales Order,,
amount_tax,Taxes,monetary,,Sales Order,,
amount_to_invoice,Un-invoiced Balance,monetary,,Sales Order,,
amount_total,Total,monetary,,Sales Order,,
amount_undiscounted,Amount Before Discount,float,,Sales Order,,
amount_untaxed,Untaxed Amount,monetary,,Sales Order,,
attendee_count,Attendee Count,integer,,Sales Order,,
authorized_transaction_ids,Authorized Transactions,many2many,,Sales Order,payment.transaction,
available_product_document_ids,Available Product Documents,many2many,,Sales Order,quotation.document,
calendar_event_count,Meetings,integer,,Sales Order,,
campaign_id,Campaign,many2one,"This is a name that helps you keep track of your different campaign efforts, e.g. Fall_Drive, Christmas_Special",Sales Order,utm.campaign,
carrier_id,Delivery Method,many2one,Fill this field if you plan to invoice the shipping based on picking.,Sales Order,delivery.carrier,
cart_quantity,Cart Quantity,integer,,Sales Order,,
cart_recovery_email_sent,Cart recovery email already sent,boolean,,Sales Order,,
client_order_ref,Customer Reference,char,,Sales Order,,
close_reason_id,Close Reason,many2one,,Sales Order,sale.order.close.reason,
commercial_partner_id,Commercial Entity,many2one,,Sales Order,res.partner,
commitment_date,Delivery Date,datetime,"This is the delivery date promised to the customer. If set, the delivery order will be scheduled based on this date rather than product lead times.",Sales Order,,
company_id,Company,many2one,,Sales Order,res.company,True
company_price_include,Default Sales Price Include,selection,Default on whether the sales price used on the product and invoices with this Company includes its taxes.,Sales Order,,
country_code,Country code,char,"The ISO country code in two chars. 
You can use this field for quick search.",Sales Order,,
create_date,Creation Date,datetime,,Sales Order,,
create_uid,Created by,many2one,,Sales Order,res.users,
currency_id,Currency,many2one,,Sales Order,res.currency,
currency_rate,Currency Rate,float,,Sales Order,,
customizable_pdf_form_fields,Customizable PDF Form Fields,json,,Sales Order,,
date_order,Order Date,datetime,"Creation date of draft/sent orders,
Confirmation date of confirmed orders.",Sales Order,,True
delivery_count,Delivery Orders,integer,,Sales Order,,
delivery_message,Delivery Message,char,,Sales Order,,
delivery_set,Delivery Set,boolean,,Sales Order,,
delivery_status,Delivery Status,selection,"Blue: Not Delivered/Started
            Orange: Partially Delivered
            Green: Fully Delivered",Sales Order,,
display_late,Display Late,boolean,,Sales Order,,
display_name,Display Name,char,,Sales Order,,
display_recurring_stock_delivery_warning,Display Recurring Stock Delivery Warning,boolean,,Sales Order,,
duplicated_order_ids,Duplicated Order,many2many,,Sales Order,sale.order,
