Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
amount_invoiced,Invoiced Amount,monetary,,Sales Order Line,,
amount_to_invoice,Un-invoiced Balance,monetary,,Sales Order Line,,
analytic_distribution,Analytic Distribution,json,,Sales Order Line,,
analytic_line_ids,Analytic lines,one2many,,Sales Order Line,account.analytic.line,
analytic_precision,Analytic Precision,integer,,Sales Order Line,,
available_product_document_ids,Available Product Documents,many2many,,Sales Order Line,product.document,
calendar_booking_ids,Bookings,one2many,,Sales Order Line,calendar.booking,
calendar_event_id,Meeting,many2one,,Sales Order Line,calendar.event,
combo_item_id,Combo Item,many2one,,Sales Order Line,product.combo.item,
company_id,Company,many2one,,Sales Order Line,res.company,
company_price_include,Default Sales Price Include,selection,Default on whether the sales price used on the product and invoices with this Company includes its taxes.,Sales Order Line,,
create_date,Created on,datetime,,Sales Order Line,,
create_uid,Created by,many2one,,Sales Order Line,res.users,
currency_id,Currency,many2one,,Sales Order Line,res.currency,
customer_lead,Lead Time,float,Number of days between the order confirmation and the shipping of the products to the customer,Sales Order Line,,True
discount,Discount (%),float,,Sales Order Line,,
display_name,Display Name,char,,Sales Order Line,,
display_qty_widget,Display Qty Widget,boolean,,Sales Order Line,,
display_type,Display Type,selection,,Sales Order Line,,
distribution_analytic_account_ids,Distribution Analytic Account,many2many,,Sales Order Line,account.analytic.account,
event_id,Event,many2one,Choose an event and it will automatically create a registration for this event.,Sales Order Line,event.event,
event_ticket_id,Ticket Type,many2one,Choose an event ticket and it will automatically create a registration for this event ticket.,Sales Order Line,event.event.ticket,
forecast_expected_date,Forecast Expected Date,datetime,,Sales Order Line,,
free_qty_today,Free Qty Today,float,,Sales Order Line,,
id,ID,integer,,Sales Order Line,,
invoice_lines,Invoice Lines,many2many,,Sales Order Line,account.move.line,
invoice_status,Invoice Status,selection,,Sales Order Line,,
is_configurable_product,Is the product configurable?,boolean,,Sales Order Line,,
is_delivery,Is a Delivery,boolean,,Sales Order Line,,
is_downpayment,Is a down payment,boolean,Down payments are made when creating invoices from a sales order. They are not copied when duplicating a sales order.,Sales Order Line,,
is_expense,Is expense,boolean,Is true if the sales order line comes from an expense or a vendor bills,Sales Order Line,,
is_mto,Is Mto,boolean,,Sales Order Line,,
is_product_archived,Is Product Archived,boolean,,Sales Order Line,,
is_storable,Track Inventory,boolean,A storable product is a product for which you manage stock.,Sales Order Line,,
last_invoiced_date,Last Invoiced Date,date,,Sales Order Line,,
linked_line_id,Linked Order Line,many2one,,Sales Order Line,sale.order.line,
linked_line_ids,Linked Order Lines,one2many,,Sales Order Line,sale.order.line,
linked_virtual_id,Linked Virtual,char,,Sales Order Line,,
move_ids,Stock Moves,one2many,,Sales Order Line,stock.move,
name,Description,text,,Sales Order Line,,True
name_short,Name Short,char,,Sales Order Line,,
next_invoice_date,Next Invoice,date,The next invoice will be created on this date then the period will be extended.,Sales Order Line,,
order_id,Order Reference,many2one,,Sales Order Line,sale.order,True
order_partner_id,Customer,many2one,,Sales Order Line,res.partner,
parent_line_id,Parent Line,many2one,,Sales Order Line,sale.order.line,
price_reduce_taxexcl,Price Reduce Tax excl,monetary,,Sales Order Line,,
price_reduce_taxinc,Price Reduce Tax incl,monetary,,Sales Order Line,,
price_subtotal,Subtotal,monetary,,Sales Order Line,,
price_tax,Total Tax,float,,Sales Order Line,,
price_total,Total,monetary,,Sales Order Line,,
price_unit,Unit Price,float,,Sales Order Line,,True
pricelist_id,Pricelist,many2one,"If you change the pricelist, only newly added lines will be affected.",Sales Order Line,product.pricelist,
pricelist_item_id,Pricelist Item,many2one,,Sales Order Line,product.pricelist.item,
product_custom_attribute_value_ids,Custom Values,one2many,,Sales Order Line,product.attribute.custom.value,
product_document_ids,Product Documents,many2many,The product documents for this order line that will be merged in the PDF quote.,Sales Order Line,product.document,
product_id,Product,many2one,,Sales Order Line,product.product,
product_no_variant_attribute_value_ids,Extra Values,many2many,,Sales Order Line,product.template.attribute.value,
product_packaging_id,Packaging,many2one,,Sales Order Line,product.packaging,
product_packaging_qty,Packaging Quantity,float,,Sales Order Line,,
product_qty,Product Qty,float,,Sales Order Line,,
product_template_attribute_value_ids,Attribute Values,many2many,,Sales Order Line,product.template.attribute.value,
product_template_id,Product Template,many2one,,Sales Order Line,product.template,
product_template_variant_value_ids,Variant Values,many2many,,Sales Order Line,product.template.attribute.value,
product_type,Product Type,selection,"Goods are tangible materials and merchandise you provide.
A service is a non-material product you provide.",Sales Order Line,,
product_uom,Unit of Measure,many2one,,Sales Order Line,uom.uom,
