Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
active,Active,boolean,,Subscription Plan,,
active_subs_count,Subscriptions,integer,,Subscription Plan,,
auto_close_limit,Automatic Closing,integer,"Unpaid subscription after the due date majored by this number of days will be automatically closed by the subscriptions expiration scheduled action. 
If the chosen payment method has failed to renew the subscription after this time, the subscription is automatically closed.",Subscription Plan,,
auto_close_limit_display,Automatic Closing After,char,,Subscription Plan,,
billing_first_day,Align to Period Start,boolean,Align all subscription invoices on the first day of each billing period.,Subscription Plan,,
billing_period_display,Billing Period,char,,Subscription Plan,,
billing_period_display_sentence,Billing Period Display,char,,Subscription Plan,,
billing_period_unit,Unit,selection,,Subscription Plan,,True
billing_period_value,Billing Period ,integer,,Subscription Plan,,True
company_id,Company,many2one,,Subscription Plan,res.company,
create_date,Created on,datetime,,Subscription Plan,,
create_uid,Created by,many2one,,Subscription Plan,res.users,
display_name,Display Name,char,,Subscription Plan,,
id,ID,integer,,Subscription Plan,,
invoice_mail_template_id,Invoice Email Template,many2one,"Email template used to send invoicing email automatically.
Leave it empty if you don't want to send email automatically.",Subscription Plan,mail.template,
name,Name,char,,Subscription Plan,,True
product_subscription_pricing_ids,Recurring Pricing,one2many,,Subscription Plan,sale.subscription.pricing,
related_plan_id,Optional Plans,many2many,Allow your customers to switch from this plan to another on quotation (new subscription or renewal),Subscription Plan,sale.subscription.plan,
subscription_line_count,Subscription Count,integer,,Subscription Plan,,
user_closable,Closable,boolean,Customer can close their subscriptions.,Subscription Plan,,
user_closable_options,Closeable Plan Options,selection,,Subscription Plan,,True
user_extend,Renew,boolean,Customer can create a renewal quotation for their subscription.,Subscription Plan,,
user_quantity,Add Products,boolean,"Allow customers to create an Upsell quote to adjust the quantity of products in their subscription.Only products that are listed as ""optional products"" can be modified.",Subscription Plan,,
write_date,Last Updated on,datetime,,Subscription Plan,,
write_uid,Last Updated by,many2one,,Subscription Plan,res.users,
