"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"active","Active","boolean","Uncheck the active field to disable a unit of measure without deleting it.","Product Unit of Measure","",""
"category_id","Category","many2one","Conversion between Units of Measure can only occur if they belong to the same category. The conversion will be made based on the ratios.","Product Unit of Measure","uom.category",""
"color","Color","integer","","Product Unit of Measure","",""
"create_date","Created on","datetime","","Product Unit of Measure","",""
"create_uid","Created by","many2one","","Product Unit of Measure","res.users",""
"display_name","Display Name","char","","Product Unit of Measure","",""
"factor","Ratio","float","How much bigger or smaller this unit is compared to the reference Unit of Measure for this category: 1 * (reference unit) = ratio * (this unit)","Product Unit of Measure","",""
"factor_inv","Bigger Ratio","float","How many times this Unit of Measure is bigger than the reference Unit of Measure in this category: 1 * (this unit) = ratio * (reference unit)","Product Unit of Measure","",""
"fiscal_country_codes","Fiscal Country Codes","char","","Product Unit of Measure","",""
"id","ID","integer","","Product Unit of Measure","",""
"name","Unit of Measure","char","","Product Unit of Measure","",""
"ratio","Combined Ratio","float","","Product Unit of Measure","",""
"rounding","Rounding Precision","float","The computed quantity will be a multiple of this value. Use 1.0 for a Unit of Measure that cannot be further split, such as a piece.","Product Unit of Measure","",""
"uom_type","Type","selection","","Product Unit of Measure","",""
"write_date","Last Updated on","datetime","","Product Unit of Measure","",""
"write_uid","Last Updated by","many2one","","Product Unit of Measure","res.users",""
